name,price,mode,max_memory
Microsoft Windows 11 Home (64-bit),121.98,64,128
Microsoft Windows 11 Pro (64-bit),149.99,64,2048
Microsoft Windows 10 Pro (64-bit),129.55,64,2048
Microsoft Windows 11 Pro (64-bit),199,64,2048
Microsoft Windows 11 Home (64-bit),119.99,64,128
Microsoft Windows 11 Pro (64-bit),189.99,64,2048
Microsoft Windows 11 Home (64-bit),138.98,64,128
Microsoft Windows 7 Professional (32/64-bit),254.16,,192
Microsoft Windows 7 Home Premium (32/64-bit),253.15,,16
Microsoft Windows 8.1 Pro (64-bit),169,64,512
Microsoft Windows 8.1 Pro DE (64-bit),188.07,64,512
